2018rank,City,State,2018estimate,2010Census,Change,2016 land area (sq mi),2016 land area (km2),2016 population density (/sq mi),2016 population density (/km2),Location,Longitude,Latitude,wiki_link,official_website
23,Detroit,Michigan,672662,713777,−5.76%,138.8,359.5 ,4847,1871,﻿42.3830°N 83.1022°W,42°22′59″N,83°06′08″W﻿,https://en.wikipedia.org/wiki/Detroit,http://www.detroitmi.gov/
24,Nashville,Tennessee,669053,601222,+11.28%,475.9,"1,232.6 ",1388,536,﻿36.1718°N 86.7850°W,36°10′18″N,86°47′06″W﻿,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",http://www.nashville.gov/
25,Portland,Oregon,653115,583776,+11.88%,133.5,345.8 ,4793,1851,﻿45.5370°N 122.6500°W,45°32′13″N,122°39′00″W﻿,"https://en.wikipedia.org/wiki/Portland,_Oregon",http://www.PortlandOregon.gov/
26,Memphis,Tennessee,650618,646889,+0.58%,317.4,822.1 ,2056,794,﻿35.1028°N 89.9774°W,35°06′10″N,89°58′39″W﻿,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",http://www.memphistn.gov
27,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3,"1,570.3 ",1053,407,﻿35.4671°N 97.5137°W,35°28′02″N,97°30′49″W﻿,https://en.wikipedia.org/wiki/Oklahoma_City,http://www.okc.gov/
28,Las Vegas,Nevada,644644,583756,+10.43%,134.4,348.1 ,4709,1818,﻿36.2292°N 115.2601°W,36°13′45″N,115°15′36″W﻿,https://en.wikipedia.org/wiki/Las_Vegas,http://lasvegasnevada.gov
29,Louisville,Kentucky,620118,597337,+3.81%,263.5,682.5 ,2339,903,﻿38.1654°N 85.6474°W,38°09′55″N,85°38′51″W﻿,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",http://louisvilleky.gov/
30,Baltimore,Maryland,602495,620961,−2.97%,80.9,209.5 ,7598,2934,﻿39.3000°N 76.6105°W,39°18′00″N,76°36′38″W﻿,https://en.wikipedia.org/wiki/Baltimore,http://www.baltimorecity.gov/
31,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2,249.2 ,6186,2388,﻿43.0633°N 87.9667°W,43°03′48″N,87°58′00″W﻿,https://en.wikipedia.org/wiki/Milwaukee,http://city.milwaukee.gov
32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2,487.4 ,2972,1147,﻿35.1056°N 106.6474°W,35°06′20″N,106°38′51″W﻿,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",http://www.cabq.gov/
33,Tucson,Arizona,545975,520116,+4.97%,230.8,597.8 ,2299,888,﻿32.1531°N 110.8706°W,32°09′11″N,110°52′14″W﻿,"https://en.wikipedia.org/wiki/Tucson,_Arizona",http://www.tucsonaz.gov
34,Fresno,California,530093,494665,+7.16%,114.4,296.3 ,4563,1762,﻿36.7836°N 119.7934°W,36°47′01″N,119°47′36″W﻿,"https://en.wikipedia.org/wiki/Fresno,_California",http://www.fresno.gov
35,Mesa,Arizona,508958,439041,+15.92%,137.9,357.2 ,3514,1357,﻿33.4019°N 111.7174°W,33°24′07″N,111°43′03″W﻿,"https://en.wikipedia.org/wiki/Mesa,_Arizona",http://www.mesaaz.gov
36,Sacramento,California,508529,466488,+9.01%,97.9,253.6 ,5059,1953,﻿38.5666°N 121.4686°W,38°34′00″N,121°28′07″W﻿,"https://en.wikipedia.org/wiki/Sacramento,_California",http://cityofsacramento.org
37,Atlanta,Georgia,498044,420003,+18.58%,133.5,345.8 ,3539,1366,﻿33.7629°N 84.4227°W,33°45′46″N,84°25′22″W﻿,https://en.wikipedia.org/wiki/Atlanta,http://atlantaga.gov
38,Kansas City,Missouri,491918,459787,+6.99%,315.0,815.8 ,1528,590,﻿39.1251°N 94.5510°W,39°07′30″N,94°33′04″W﻿,"https://en.wikipedia.org/wiki/Kansas_City,_Kansas",http://wycokck.org
39,Colorado Springs,Colorado,472688,416427,+13.51%,195.6,506.6 ,2378,918,﻿38.8673°N 104.7607°W,38°52′02″N,104°45′39″W﻿,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",http://coloradosprings.gov
40,Miami,Florida,470914,399457,+17.89%,36.0,93.2 ,12599,4865,﻿25.7752°N 80.2086°W,25°46′31″N,80°12′31″W﻿,https://en.wikipedia.org/wiki/Miami,http://miamigov.com
41,Raleigh,North Carolina,469298,403892,+16.19%,145.1,375.8 ,3163,1221,﻿35.8306°N 78.6418°W,35°49′50″N,78°38′30″W﻿,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",http://raleighnc.gov
42,Omaha,Nebraska,468262,408958,+14.50%,133.2,345.0 ,3356,1296,﻿41.2644°N 96.0451°W,41°15′52″N,96°02′42″W﻿,"https://en.wikipedia.org/wiki/Omaha,_Nebraska",http://www.cityofomaha.org
43,Long Beach,California,467354,462257,+1.10%,50.3,130.3 ,9347,3609,﻿33.8092°N 118.1553°W,33°48′33″N,118°09′19″W﻿,"https://en.wikipedia.org/wiki/Long_Beach,_California",http://www.longbeach.gov
44,Virginia Beach,Virginia,450189,437994,+2.78%,244.7,633.8 ,1850,710,﻿36.7800°N 76.0252°W,36°46′48″N,76°01′31″W﻿,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",http://www.vbgov.com/
45,Oakland,California,429082,390724,+9.82%,55.9,144.8 ,7514,2901,﻿37.7698°N 122.2257°W,37°46′11″N,122°13′33″W﻿,"https://en.wikipedia.org/wiki/Oakland,_California",https://www.oaklandca.gov
46,Minneapolis,Minnesota,425403,382578,+11.19%,54.0,139.9 ,7660,2960,﻿44.9633°N 93.2683°W,44°57′48″N,93°16′06″W﻿,https://en.wikipedia.org/wiki/Minneapolis,http://www.minneapolismn.gov
47,Tulsa,Oklahoma,400669,391906,+2.24%,196.8,509.7 ,2048,791,﻿36.1279°N 95.9023°W,36°07′40″N,95°54′08″W﻿,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",http://www.cityoftulsa.org/
48,Arlington,Texas,398112,365438,+8.94%,95.8,248.1 ,4100,1600,﻿32.7007°N 97.1247°W,32°42′03″N,97°07′29″W﻿,"https://en.wikipedia.org/wiki/Arlington,_Texas",http://www.ArlingtonTX.gov
49,Tampa,Florida,392890,335709,+17.03%,113.4,293.7 ,3326,1284,﻿27.9701°N 82.4797°W,27°58′12″N,82°28′47″W﻿,"https://en.wikipedia.org/wiki/Tampa,_Florida",http://www.tampagov.net
50,New Orleans,Louisiana,391006,343829,+13.72%,169.4,438.7 ,2311,892,﻿30.0534°N 89.9345°W,30°03′12″N,89°56′04″W﻿,https://en.wikipedia.org/wiki/New_Orleans,http://www.nola.gov
51,Wichita,Kansas,389255,382368,+1.80%,160.4,415.4 ,2431,939,﻿37.6907°N 97.3459°W,37°41′27″N,97°20′45″W﻿,"https://en.wikipedia.org/wiki/Wichita,_Kansas",http://www.wichita.gov/
